accommodates,bedrooms,beds,minimum_nights,maximum_nights,review_scores_rating,availability_30,review_scores_cleanliness,availability_60,availability_90,availability_365,priceClass
4,1.0,2.0,2,365,5.0,8,5.0,36,66,341,0.0
7,3.0,4.0,2,1125,5.0,5,5.0,21,46,288,1.0
7,3.0,4.0,2,1125,4.67,13,4.33,37,67,342,1.0
4,1.0,2.0,2,7,5.0,13,5.0,43,73,163,0.0
2,1.0,1.0,1,30,5.0,1,4.83,13,28,193,0.0
4,2.0,2.0,2,45,4.67,9,5.0,15,15,174,1.0
2,1.0,1.0,1,7,5.0,12,5.0,28,28,28,0.0
4,2.0,3.0,1,365,5.0,9,5.0,28,58,331,1.0
4,1.0,2.0,2,1125,5.0,18,5.0,46,76,77,1.0
2,1.0,1.0,3,1125,5.0,2,5.0,11,18,169,0.0
2,1.0,1.0,2,3,4.7,24,4.9,54,59,328,0.0
3,1.0,2.0,3,31,5.0,0,5.0,12,38,128,0.0
4,2.0,2.0,90,180,4.84,0,4.96,0,6,268,0.0
2,1.0,1.0,90,180,4.79,0,4.88,0,0,111,0.0
4,2.0,4.0,60,1125,4.86,0,4.88,0,4,146,1.0
4,2.0,2.0,30,1125,4.71,0,4.64,0,1,269,0.0
4,2.0,2.0,4,180,4.71,11,4.85,17,47,236,1.0
3,1.0,1.0,2,3,4.91,0,4.93,0,0,0,0.0
6,2.0,2.0,30,120,4.71,0,4.58,21,51,141,0.0
2,1.0,3.0,3,1125,4.9,2,4.97,5,35,35,0.0
4,1.0,2.0,1,1125,4.92,1,4.94,6,19,233,0.0
6,2.0,2.0,2,90,4.69,5,4.87,14,32,104,1.0
4,1.0,1.0,1,1125,4.89,1,4.93,5,15,233,0.0
6,3.0,3.0,30,100,5.0,0,5.0,0,0,172,1.0
16,6.0,9.0,2,365,4.87,0,4.93,10,31,292,1.0
6,3.0,3.0,2,365,4.71,20,4.86,41,69,338,1.0
6,3.0,4.0,2,365,4.86,10,4.91,26,43,301,1.0
10,4.0,7.0,2,365,4.95,12,5.0,23,45,304,1.0
2,1.0,1.0,2,7,4.93,7,4.95,27,52,52,0.0
2,1.0,1.0,2,7,4.97,5,4.97,24,45,45,0.0
8,3.0,4.0,2,28,5.0,5,5.0,23,53,139,1.0
2,1.0,1.0,2,3,4.96,21,5.0,51,61,325,0.0
5,2.0,3.0,2,1125,4.83,6,4.92,20,48,317,1.0
2,1.0,1.0,30,1125,4.5,0,4.5,0,0,214,0.0
4,1.0,2.0,3,1125,4.81,0,4.9,22,52,141,0.0
7,3.0,4.0,3,1125,4.93,18,4.95,37,63,335,1.0
4,2.0,2.0,1,1125,4.9,2,4.97,15,44,118,0.0
